a_m,b_m,travel_m,alpha_deg,radius_upper_m
409.5760221444959,286.788218175523,499.99999999999994,35.0,148.24375477144193
383.022221559489,321.3938048432696,500.0,39.99999999999999,143.08096315265533
353.5533905932738,353.5533905932738,500.00000000000006,45.0,137.36428120790544
321.39380484326966,383.022221559489,500.0,50.0,133.57263663159236
286.788218175523,409.5760221444959,499.99999999999994,55.0,131.2739547404024
250.00000000000006,433.0127018922193,500.0,59.99999999999999,131.28881992844
211.30913087034972,453.153893518325,500.00000000000006,65.0,133.54173093246843
171.0100716628344,469.84631039295414,499.99999999999994,70.0,136.82602248361934
597.7168188550473,52.2934456485949,600.0,4.999999999999999,305.33194942802874
590.8846518073248,104.1889066001582,599.9999999999999,10.000000000000002,221.87763002211142
579.555495773441,155.29142706151245,600.0,14.999999999999998,179.138346925662
563.815572471545,205.21208599540122,600.0,20.0,154.85962930054083
543.7846722219899,253.57095704441966,599.9999999999999,25.000000000000004,138.42319275252464
519.6152422706632,299.99999999999994,600.0,29.999999999999996,125.85880913268478
491.49122657339507,344.14586181062765,600.0,35.0,118.00738026265603
459.6266658713868,385.67256581192356,600.0,40.0,115.69219942176578
424.26406871192853,424.26406871192853,600.0,45.0,113.0581011612052
385.6725658119236,459.6266658713868,600.0,50.0,110.98043965811112
344.14586181062765,491.49122657339507,600.0,55.0,110.25127484956182
300.00000000000006,519.6152422706632,600.0,59.99999999999999,111.252932052319
253.57095704441966,543.7846722219899,599.9999999999999,65.0,115.0579542568612
205.21208599540128,563.815572471545,600.0,70.0,117.79518839409022
697.3362886642219,61.00901992336072,700.0,5.0,255.35374917558977
689.3654271085456,121.55372436685123,700.0,9.999999999999998,181.22637296359898
676.1480784023478,181.17333157176452,700.0,14.999999999999998,145.52732608914434
657.7848345501359,239.4141003279681,700.0,20.0,122.40519657729878
634.4154509256549,295.8327832184896,700.0,25.000000000000004,110.12117743499016
606.2177826491071,349.99999999999994,700.0,29.999999999999996,103.32672982225881
573.4064310022943,401.50350544573223,700.0,35.0,97.30615153898269
536.2311101832846,449.95132678057746,700.0,40.0,95.5095075222224
494.9747468305833,494.9747468305833,700.0,45.0,94.83204902141213
449.9513267805776,536.2311101832846,700.0,50.0,94.21463138175186
401.50350544573223,573.4064310022943,700.0,55.00000000000001,94.58009518035969
350.00000000000006,606.217782649107,700.0,59.99999999999999,97.50974987562948
295.8327832184896,634.4154509256549,700.0,65.0,100.78415230336348
747.1460235688091,65.36680706074362,750.0,5.0,233.4216935917496
738.605814759156,130.23613325019775,749.9999999999999,10.0,160.5759066706321
724.4443697168012,194.11428382689056,750.0000000000001,14.999999999999998,128.0598872023252
704.7694655894313,256.51510749425154,750.0000000000001,20.0,110.7982279362668
679.7308402774875,316.9636963055246,750.0,25.000000000000004,98.29196027236507
649.519052838329,374.99999999999994,750.0,29.999999999999996,93.79333860033879
614.3640332167439,430.18232726328455,750.0000000000001,35.0,88.88085798477695
574.5333323392335,482.09070726490444,750.0,40.0,87.67420594105991
530.3300858899107,530.3300858899107,750.0000000000001,45.0,87.5384091715408
482.0907072649045,574.5333323392335,750.0,50.0,87.41193607508929
430.18232726328455,614.3640332167439,750.0000000000001,55.00000000000001,88.23984993911643
375.00000000000006,649.519052838329,750.0,59.99999999999999,92.00490770959482
316.9636963055246,679.7308402774875,750.0,65.0,94.80314875773459
796.9557584733965,69.72459419812654,800.0,5.0,209.19823789891427
