time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
53,174592,517488,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,3.3268067519303911e-08,2.7846511997987937e-17,28.000000052363838,28.067004374089354,2.3252384501153642,2.5500000000000105
54,175104,519024,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,3.5401510042100612e-08,2.8053333840625646e-17,28.000000067725601,28.06885789860317,2.3232361659773706,2.5500000000000105
55,175616,520560,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,3.7540328955256702e-08,2.8100570752062614e-17,28.000000086857057,28.070726839012544,2.321254242590137,2.55000000000001
56,176128,522096,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,3.9678394997014755e-08,2.8177649483642442e-17,28.000000110502452,28.072611025223029,2.319292125069615,2.55000000000001
57,176640,523632,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,4.1811256391079081e-08,2.8410632800157913e-17,28.000000139516057,28.074510291814381,2.3173492832167395,2.55000000000001
58,177152,525168,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,4.3945999572295725e-08,2.8451855203812825e-17,28.000000174873357,28.076424477833559,2.3154252100074855,2.5500000000000105
59,177664,526704,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,4.6078108230541496e-08,2.8617635562705223e-17,28.000000217681677,28.078353426599872,2.3135194201997753,2.5500000000000105
60,178176,528240,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,4.8216561665487823e-08,2.8818615506890262e-17,28.000000269191329,28.080296985522676,2.311631449046101,2.55000000000001
61,178688,529776,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,5.0352832481168706e-08,2.9032513957216544e-17,28.000000330806973,28.082303114246816,2.3097608684540996,2.55000000000001
62,179200,531312,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,5.2485902432362932e-08,2.914604020529002e-17,28.000000404098973,28.084362693432233,2.3079072480753111,2.55000000000001
63,179712,532848,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,5.4619482466960624e-08,2.9330194339388146e-17,28.000000490815651,28.086461542659318,2.3060701728087558,2.5500000000000105
64,180224,534384,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,5.6755399717157325e-08,2.9401298138608351e-17,28.000000592894491,28.088594514107594,2.3042492470154761,2.5500000000000105
65,180736,535920,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,5.8885915731634493e-08,2.9445641649810791e-17,28.000000712474094,28.090758579625366,2.3024440911559232,2.55000000000001
66,181248,537456,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,6.1019082837534881e-08,2.9515553455918912e-17,28.000000851905767,28.092951656797801,2.3006543405458504,2.55000000000001
67,181760,538992,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,6.3143727571987388e-08,2.9675442104576128e-17,28.000001013765541,28.095172185993427,2.2988796444374131,2.55000000000001
68,182272,540528,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,6.5272820039854105e-08,2.9883283343921232e-17,28.000001200865256,28.097418933624603,2.2971196652327222,2.5500000000000105
69,182784,542064,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,6.7407717915199349e-08,2.9974939246791535e-17,28.000001416264471,28.099690886176514,2.2953740777771139,2.5500000000000105
70,183296,543600,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,6.954585006623908e-08,3.0191855536335747e-17,28.000001663280791,28.101987187285172,2.2936425687113382,2.55000000000001
71,183808,545136,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,7.1685786154595175e-08,3.0384398574314868e-17,28.000001945501463,28.104307097659884,2.2919248358719702,2.55000000000001
72,184320,546672,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,7.3826897245754659e-08,3.0643540327404289e-17,28.000002266793995,28.106649968161506,2.290220587733613,2.55000000000001
73,184832,548208,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,7.5953406464143333e-08,3.0856780303188888e-17,28.000002631315901,28.109015220945079,2.2885295428880239,2.5500000000000105
74,185344,549744,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,7.8092911090883861e-08,3.1106253930504698e-17,28.000003043525155,28.111402335795812,2.2868514295567435,2.5500000000000105
75,185856,551280,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,8.0234589568133712e-08,3.1342721732425851e-17,28.00000350818949,28.113810839946861,2.285185985134266,2.55000000000001
76,186368,552816,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,8.2374317989164631e-08,3.1533605381472706e-17,28.000004030395537,28.116240300311482,2.2835329557591026,2.55000000000001
77,186880,554352,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,8.45138970163519e-08,3.1708616016176036e-17,28.000004615557884,28.118690317435401,2.2818920959106839,2.55000000000001
78,187392,555888,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,8.6651067581762799e-08,3.1828183564928595e-17,28.000005269426826,28.121160520706685,2.2802631680301158,2.5500000000000105
79,187904,557424,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,8.8787346063240933e-08,3.202085142963203e-17,28.000005998096757,28.123650564503087,2.2786459421628211,2.5500000000000105
80,188416,558960,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,9.0924868186844112e-08,3.2104825745593253e-17,28.000006808012888,28.126160125051094,2.2770401956218507,2.55000000000001
81,188928,560496,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,9.3062064416838317e-08,3.2357469516757278e-17,28.000007705978643,28.128688897835783,2.2754457126701166,2.55000000000001
82,189440,562032,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,9.5204047962341814e-08,3.2492863434621633e-17,28.000008699161665,28.131236595440516,2.2738622842203329,2.55000000000001
83,189952,563568,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,9.734287166989412e-08,3.2576045143534968e-17,28.0000097950998,28.133802945728281,2.2722897075515167,2.5500000000000105
84,190464,565104,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,9.9479403815215656e-08,3.283960118473737e-17,28.000011001706337,28.136387690298029,2.2707277860407942,2.5500000000000105
85,190976,566640,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,1.016163983236494e-07,3.3092674727928404e-17,28.000012327274877,28.138990583163043,2.2691763289096807,2.55000000000001
86,191488,568176,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,1.0375133733145666e-07,3.3264609543222745e-17,28.00001378048368,28.141611389611246,2.2676351509837223,2.55000000000001
87,192000,569712,3,1.5628194679800253e-15,0.00044023083605071006,2.2492869792834124e-16,1.0589617201523095e-07,3.3425532283967925e-17,28.000015370399314,28.144249885216393,2.2661040724647763,2.55000000000001
