time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
55,28.000000000000004,2.5499999999999994,56,56,1.2940759575030825e-12,-3.4319214137212829e-21,5.725636354575622e-12,1.4473755527432971e-20
56,28.000000000000007,2.5499999999999989,57,57,1.311839525897085e-12,-3.502975687297293e-21,5.7093536881579392e-12,1.5184853374705386e-20
57,28.000000000000007,2.5499999999999994,58,58,1.3296030942910875e-12,-3.5740299608733031e-21,4.9929005673355967e-12,1.6490475651664589e-20
58,28.000000000000004,2.5499999999999989,59,59,1.34736666268509e-12,-3.6450842344493132e-21,4.9298213984661645e-12,2.6198820890499272e-20
59,28.000000000000007,2.5499999999999989,60,60,1.3651302310790925e-12,-3.7232439353829241e-21,4.1104159722499729e-12,2.4575230739287515e-20
60,28.000000000000004,2.5499999999999989,61,61,1.3846701563124952e-12,-3.801403636316535e-21,2.9310040011222739e-12,2.8786972805505481e-20
61,28.000000000000004,2.5499999999999989,62,62,1.4059864383852982e-12,-3.8795633372501458e-21,1.8973875550955873e-12,2.4210189408790715e-20
62,28,2.5499999999999985,63,63,1.4273027204581012e-12,-3.9577230381837567e-21,1.2419934738213331e-12,2.4953594746079704e-20
63,27.999999999999993,2.5499999999999989,64,64,1.4486190025309043e-12,-4.0358827391173676e-21,1.2667628612516501e-12,2.8228308579514081e-20
64,28.000000000000004,2.5499999999999985,65,65,1.4699352846037073e-12,-4.1140424400509785e-21,1.5428116960241432e-12,2.8145707986481963e-20
65,27.999999999999993,2.5499999999999985,66,66,1.4912515666765103e-12,-4.1922021409845893e-21,7.0664391050036301e-13,2.6229018956769112e-20
66,28,2.5499999999999989,67,67,1.5125678487493133e-12,-4.2703618419182002e-21,5.60339501626049e-13,2.884648075962537e-20
67,27.999999999999993,2.5499999999999989,68,68,1.5338841308221163e-12,-4.3485215428518111e-21,1.5072961677511045e-12,3.1019853352631563e-20
68,28,2.5499999999999989,69,69,1.5552004128949193e-12,-4.4266812437854219e-21,2.4809090694499336e-12,2.4524604569364563e-20
69,28.000000000000004,2.5499999999999985,70,70,1.5765166949677223e-12,-4.5048409447190328e-21,2.0270509381332363e-12,2.1457724486140026e-20
70,28,2.5499999999999985,71,71,1.5978329770405253e-12,-4.5830006456526437e-21,1.3862437413257464e-12,2.2911672559189162e-20
71,27.999999999999993,2.5499999999999989,72,72,1.6191492591133283e-12,-4.6611603465862546e-21,-6.1426841406081213e-13,2.5928814650910447e-20
72,27.999999999999993,2.5499999999999985,73,73,1.6404655411861313e-12,-4.7393200475198654e-21,-6.822627264272619e-13,2.4291901823403126e-20
73,27.999999999999989,2.5499999999999989,74,74,1.6617818232589343e-12,-4.8174797484534763e-21,-2.0924281179731366e-12,2.6229907135188775e-20
74,27.999999999999993,2.5499999999999989,75,75,1.6830981053317373e-12,-4.8956394493870872e-21,-1.9060627068866571e-12,2.8074653712905978e-20
75,27.999999999999993,2.5499999999999985,76,76,1.7044143874045403e-12,-4.9737991503206981e-21,-2.9288241414269055e-12,2.8502755711201438e-20
76,27.999999999999989,2.5499999999999985,77,77,1.7257306694773433e-12,-5.0519588512543089e-21,-3.6577746238650338e-12,2.68702837757926e-20
77,27.999999999999989,2.5499999999999985,78,78,1.7470469515501463e-12,-5.1301185521879198e-21,-2.8848535579972478e-12,2.9354518815693842e-20
78,27.999999999999989,2.5499999999999985,79,79,1.7683632336229493e-12,-5.2082782531215307e-21,-2.394251644895342e-12,2.818834055062759e-20
79,27.999999999999989,2.5499999999999985,80,80,1.7896795156957523e-12,-5.2864379540551416e-21,-2.7968113317522713e-12,2.8052449252413474e-20
80,27.999999999999989,2.5499999999999985,81,81,1.8109957977685553e-12,-5.3645976549887524e-21,-3.8853248140411887e-12,3.0589974997496717e-20
81,27.999999999999986,2.5499999999999985,82,82,1.8323120798413584e-12,-5.4427573559223633e-21,-4.7514660555657077e-12,3.474842635853271e-20
