time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
1566,111552,405248,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.1434570984581994e-07,8.898890459694092e-16,32.338576727667508,35.48454584249761,1.5628062563960483,2.5499987357904601
1567,111584,405376,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.1517949929996653e-07,8.9055302157235883e-16,32.343811874816012,35.489963245686788,1.5625690317567711,2.5499987246462954
1568,111616,405504,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.1600755119091079e-07,8.9091091853177519e-16,32.349047940254195,35.49535834875298,1.5623319240511699,2.5499987134179252
1569,111648,405632,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.1684650450051172e-07,8.915833854539054e-16,32.354284910261228,35.500732986664126,1.5620949330781975,2.5499987021048569
1570,111680,405760,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.1767728627721786e-07,8.9206101080992937e-16,32.359522771219545,35.506088668501874,1.5618580586520825,2.5499986907065182
1571,111712,405888,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.185138268223861e-07,8.9264644075403099e-16,32.364761509625154,35.511426662094202,1.5616213005982911,2.5499986792224649
1572,111744,406016,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.1935271578068497e-07,8.931131373998019e-16,32.370001112096787,35.516748050812275,1.5613846587510343,2.5499986676520496
1573,111776,406144,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2019108590400885e-07,8.9341077797390653e-16,32.375241565385366,35.522053773302318,1.5611481329512971,2.5499986559948544
1574,111808,406272,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2102550366112065e-07,8.9333427234924423e-16,32.380482856382855,35.52734465222656,1.5609117230456566,2.5499986442502891
1575,111840,406400,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2185806243304443e-07,8.9392242671609087e-16,32.385724972131264,35.532621415635958,1.5606754288851512,2.5499986324178545
1576,111872,406528,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2269127919252155e-07,8.9450957130220474e-16,32.390967899830677,35.537884713239251,1.5604392503246405,2.5499986204969662
1577,111904,406656,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2352563887109137e-07,8.9477754979992867e-16,32.396211626848341,35.543135129031178,1.5602031872221254,2.5499986084871029
1578,111936,406784,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2435579026316413e-07,8.9536392014498919e-16,32.401456140725436,35.548373191266933,1.5599672394383521,2.5499985963877254
1579,111968,406912,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2519018678726058e-07,8.9570051130997044e-16,32.406701429185439,35.553599380454777,1.5597314068364687,2.5499985841982795
1580,112000,407040,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2602316819333427e-07,8.9596510115891747e-16,32.411947480141471,35.558814135848316,1.5594956892816376,2.5499985719181759
1581,112032,407168,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2685984458816736e-07,8.9671434605492667e-16,32.417194281702386,35.564017860778854,1.5592600866408739,2.5499985595469794
1582,112064,407296,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2769514913592007e-07,8.9732396906739151e-16,32.422441822180417,35.569210927082338,1.5590245987827795,2.5499985470839848
1583,112096,407424,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.2852734261671318e-07,8.9774980816078113e-16,32.427690090096739,35.574393678807382,1.5587892255773943,2.5499985345287577
1584,112128,407552,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.29365903129408e-07,8.9848620973361195e-16,32.432939074187452,35.579566435348532,1.5585539668960691,2.5499985218806596
