x,y,J,P_finish,P_onsite,P_H,P_N,P_normal,P_finish_N,P_finish_normal,probability_residual,mec_gap,angle_calls,root_count,depth_capped,distance_K1,x_global,y_global,level,scan
-228.693076064702,-810.817843407046,390.501787793701,0.0233893619292871,0.0,0.0,0.65445737590174,0.34555052183555,0.0,0.0233893619292871,7.89773729015231e-06,1.13686837721616e-13,204.0,2.0,0.0,843.739399015897,1803.46293524516,587.842312199864,2,6
-228.693076064702,-775.817843407046,362.572846179434,0.0258575683619958,0.0,0.0,0.628121228034893,0.371883171511849,0.0,0.0258575683619958,4.39954674158471e-06,1.06581410364015e-13,228.0,2.0,0.0,810.166669738682,1785.96293524516,557.531423067409,2,6
-228.693076064702,-740.817843407046,337.839380225846,0.0280047248863401,0.0,0.0,0.602627472615188,0.397343177601889,0.0,0.0280047248863401,-2.9349782922905e-05,1.20792265079217e-13,228.0,2.0,0.0,776.719957294279,1768.46293524516,527.220533934954,2,6
-228.693076064702,-705.817843407046,315.940730990934,0.02980592798295,0.0,0.0,0.578163009597271,0.421862604768729,0.0,0.02980592798295,2.56143659993491e-05,2.27373675443232e-13,228.0,2.0,0.0,743.41627057994,1750.96293524516,496.909644802498,2,6
-228.693076064702,-670.817843407046,296.469472076634,0.0312411186857792,0.0,0.0,0.554608778483045,0.44538774308899,0.0,0.0312411186857792,-3.478427965109e-06,1.13686837721616e-13,228.0,2.0,0.0,710.275728620052,1733.46293524516,466.598755670043,2,6
-228.693076064702,-635.817843407046,279.245647605185,0.0322941295475443,0.0,0.0,0.532132428762374,0.467876965282221,0.0,0.0322941295475443,9.39404459510129e-06,1.13686837721616e-13,204.0,2.0,0.0,677.322279251544,1715.96293524516,436.287866537587,2,6
-228.693076064702,-600.817843407046,264.031296061484,0.0329521051607838,0.0,0.0,0.510672968666526,0.489292141552436,0.0,0.0329521051607838,-3.48897810371618e-05,1.20792265079217e-13,204.0,2.0,0.0,644.584617621508,1698.46293524516,405.976977405132,2,6
-228.693076064702,-565.817843407046,250.782128348066,0.033205189169182,0.0,0.0,0.490484564677256,0.50960508518616,0.0,0.033205189169182,8.96498634159748e-05,1.13686837721616e-13,204.0,2.0,0.0,612.097368543621,1680.96293524516,375.666088272677,2,6
-228.693076064702,-530.817843407046,239.152106165374,0.0330464211920855,0.0,0.0,0.471082428452817,0.52879102706066,0.0,0.0330464211920855,-0.000126544486523383,1.27897692436818e-13,204.0,2.0,0.0,579.902619309299,1663.46293524516,345.355199140221,2,6
-228.693076064702,-495.817843407046,229.404412491717,0.0324718201099286,0.0,0.0,0.453256162098664,0.546827664912542,0.0,0.0324718201099286,8.38270112055728e-05,1.13686837721616e-13,204.0,2.0,0.0,548.051920154966,1645.96293524516,315.044310007766,2,6
-228.693076064702,-460.817843407046,221.207937491632,0.031480655958542,0.0,0.0,0.436390105051227,0.563697408502594,0.0,0.031480655958542,8.75135538211946e-05,1.27897692436818e-13,204.0,2.0,0.0,516.608910578694,1628.46293524516,284.733420875311,2,6
-228.693076064702,-425.817843407046,214.539388672004,0.0300759380967101,0.0,0.0,0.420465259608056,0.579384910298198,0.0,0.0300759380967101,-0.000149830093745251,1.13686837721616e-13,228.0,2.0,0.0,485.65278316207,1610.96293524516,254.422531742855,2,6
-228.693076064702,-390.817843407046,209.65671107638,0.0282651788075415,0.0,0.0,0.406052565992882,0.593875848145987,0.0,0.0282651788075415,-7.15858611315401e-05,1.13686837721616e-13,228.0,2.0,1.0,455.282862731318,1593.46293524516,224.1116426104,2,6
-228.693076064702,-355.817843407046,206.58288844244,0.0260615378559749,0.0,0.0,0.393049330998119,0.607158943191755,0.0,0.0260615378559749,0.000208274189873459,1.4210854715202e-13,228.0,2.0,2.0,425.624652012292,1575.96293524516,193.800753477945,2,6
-228.693076064702,-320.817843407046,205.225559922837,0.0234855299401962,0.0,0.0,0.380871624911157,0.619224034898292,0.0,0.0234855299401962,9.56598094488115e-05,1.27897692436818e-13,228.0,2.0,0.0,396.837754887743,1558.46293524516,163.489864345489,2,6
-228.693076064702,-285.817843407046,205.947639454901,0.020567613477788,0.0,0.0,0.369814308658553,0.630062612907904,0.0,0.020567613477788,-0.000123078433543311,1.13686837721616e-13,204.0,2.0,0.0,369.126080097443,1540.96293524516,133.178975213034,2,6
-228.693076064702,-250.817843407046,209.24845886923,0.0173522407372942,0.0,0.0,0.360149387803059,0.63966731190951,0.0,0.0173522407372942,-0.000183300287431298,1.13686837721616e-13,204.0,2.0,1.0,342.750524889261,1523.46293524516,102.868086080579,2,6
-228.693076064702,-215.817843407046,215.749880413806,0.0139044891594674,0.0,0.0,0.351834842475244,0.648030821230675,0.0,0.0139044891594674,-0.000134336294081105,1.13686837721616e-13,204.0,2.0,1.0,318.043678785829,1505.96293524516,72.5571969481231,2,6
-228.693076064702,-180.817843407046,226.498122684014,0.0103216101317769,0.0,0.0,0.344833626430216,0.655149252490245,0.0,0.0103216101317769,-1.71210795395504e-05,1.4210854715202e-13,216.0,3.0,1.0,295.424509679518,1488.46293524516,42.2463078156678,2,6
-228.693076064702,-145.817843407046,243.298628965629,0.00675489595078513,0.0,0.0,0.339113882845737,0.661017194077628,0.0,0.00675489595078513,0.00013107692336467,1.13686837721616e-13,240.0,3.0,1.0,275.407879740474,1470.96293524516,11.9354186832124,2,6
-228.693076064702,-110.817843407046,269.433115660517,0.00345624049381447,0.0,0.0,0.334649125015316,0.665630873626047,0.0,0.00345624049381447,0.000279998641362411,1.13686837721616e-13,240.0,3.0,1.0,258.598838989859,1453.46293524516,-18.3754704492429,2,6
-228.693076064702,-75.8178434070464,311.474732353584,0.000896544406138239,0.0,0.0,0.331365745223981,0.668988708913568,0.0,0.000896544406138239,0.000354454137549087,1.70530256582424e-13,240.0,3.0,0.0,245.656709313348,1435.96293524516,-48.6863595816983,2,6
-228.693076064702,-40.8178434070464,385.070604698205,0.00021994829534588,0.0,0.0,0.329206850170165,0.671087068058793,0.0,0.00021994829534588,0.000293918228958523,1.70530256582424e-13,264.0,3.0,0.0,237.215256959629,1418.46293524516,-78.9972487141536,2,6
-228.693076064702,-5.81784340704644,527.460700488257,2.0110467379023e-06,0.0,0.0,0.328337146012879,0.671927095040153,0.0,2.0110467379023e-06,0.000264241053031578,9.48884365525871e-09,384.0,3.0,0.0,233.762566374906,1400.96293524516,-109.308137846609,2,6
-228.693076064702,29.1821565929536,422.670354724386,0.000138853098952003,0.0,0.0,0.328772760635902,0.671506598747764,0.0,0.000138853098952003,0.000279359383665412,1.70530256582424e-13,216.0,3.0,0.0,235.496519644751,1383.46293524516,-139.619026979064,2,6
-228.693076064702,64.1821565929536,331.159347695128,0.000377681108075187,0.0,0.0,0.330515068358347,0.669826104760189,0.0,0.000377681108075187,0.000341173118536542,1.98951966012828e-13,288.0,3.0,0.0,242.322622518089,1365.96293524516,-169.92991611152,2,6
-228.693076064702,99.1821565929536,281.15838659084,0.00248922880304759,0.0,0.0,0.333435991449047,0.666886628582246,0.0,0.00248922880304759,0.000322620031292908,1.4210854715202e-13,240.0,3.0,0.0,253.83438695988,1348.46293524516,-200.240805243975,2,6
-228.693076064702,134.182156592954,250.722583969719,0.00561164789296417,0.0,0.0,0.337491472990584,0.662689854399338,0.0,0.00561164789296417,0.000181327389921604,1.4210854715202e-13,240.0,3.0,1.0,269.431881228914,1330.96293524516,-230.55169437643,2,6
-228.693076064702,169.182156592954,231.290689272421,0.00912438619633485,0.0,0.0,0.342791328983803,0.657238552914804,0.0,0.00912438619633485,2.9881898607087e-05,1.4210854715202e-13,216.0,3.0,2.0,288.453083259315,1313.46293524516,-260.862583508886,2,6
-228.693076064702,204.182156592954,218.783012428236,0.0127223104166638,0.0,0.0,0.349363248164147,0.650535703593527,0.0,0.0127223104166638,-0.000101048242325708,1.70530256582424e-13,204.0,2.0,0.0,310.268954072204,1295.96293524516,-291.173472641341,2,6
-228.693076064702,239.182156592954,211.014063614011,0.0162278447120027,0.0,0.0,0.357237320440829,0.642585134686712,0.0,0.0162278447120027,-0.000177544872459023,1.13686837721616e-13,204.0,2.0,0.0,334.332867783461,1278.46293524516,-321.484361773796,2,6
-228.693076064702,274.182156592954,206.734559856853,0.0195289747144182,0.0,0.0,0.366448889019881,0.633393134219938,0.0,0.0195289747144182,-0.000157976760181033,1.4210854715202e-13,204.0,2.0,0.0,360.194543406152,1260.96293524516,-351.795250906252,2,6
-228.693076064702,309.182156592954,205.206340050669,0.022551559273203,0.0,0.0,0.377038346496187,0.622964286653474,0.0,0.022551559273203,2.63314966053585e-06,1.13686837721616e-13,204.0,2.0,0.0,387.494195722749,1243.46293524516,-382.106140038707,2,6
-228.693076064702,344.182156592954,205.939049914278,0.0252452018899564,0.0,0.0,0.388928597985916,0.611305946773895,0.0,0.0252452018899564,0.00023454475981044,1.4210854715202e-13,228.0,2.0,1.0,415.948788119492,1225.96293524516,-412.417029171163,2,6
-228.693076064702,379.182156592954,208.434353206503,0.0275753380221601,0.0,0.0,0.401586396799774,0.598426602536411,0.0,0.0275753380221601,1.29993361848157e-05,1.70530256582424e-13,228.0,2.0,1.0,445.336992576776,1208.46293524516,-442.727918303618,2,6
-228.693076064702,414.182156592954,212.717137450542,0.029518491043444,0.0,0.0,0.415508587970571,0.584335826361361,0.0,0.029518491043444,-0.000155585668068392,2.27373675443232e-13,228.0,2.0,0.0,475.485730150318,1190.96293524516,-473.038807436073,2,6
-228.693076064702,449.182156592954,218.793795741986,0.0310592806299715,0.0,0.0,0.43092657485084,0.569044953483607,0.0,0.0310592806299715,-2.84716655526429e-05,1.27897692436818e-13,228.0,2.0,0.0,506.259145295999,1173.46293524516,-503.349696568529,2,6
-228.693076064702,484.182156592954,226.529621076336,0.0321884670444016,0.0,0.0,0.447590642822295,0.55256654795279,0.0,0.0321884670444016,0.00015719077508547,1.27897692436818e-13,204.0,2.0,0.0,537.549964947528,1155.96293524516,-533.660585700984,2,6
-228.693076064702,519.182156592954,235.706297032859,0.0329016447150309,0.0,0.0,0.464980034219203,0.53491556289418,0.0,0.0329016447150309,-0.000104402886616395,1.20792265079217e-13,204.0,2.0,0.0,569.272876074684,1138.46293524516,-563.971474833439,2,6
-228.693076064702,554.182156592954,246.712458631281,0.0331983666439464,0.0,0.0,0.483884725975849,0.516109884600879,0.0,0.0331983666439464,-5.38942327232839e-06,1.70530256582424e-13,204.0,2.0,0.0,601.359501507706,1120.96293524516,-594.282363965895,2,6
-228.693076064702,589.182156592954,259.451345737198,0.0330815731089878,0.0,0.0,0.503896923849511,0.496168742199723,0.0,0.0330815731089878,6.56660492341921e-05,1.13686837721616e-13,204.0,2.0,0.0,633.754599725201,1103.46293524516,-624.59325309835,2,6
-228.693076064702,624.182156592954,273.936343248311,0.0325572522988558,0.0,0.0,0.524807834376324,0.475116699973462,0.0,0.0325572522988558,-7.54656502144346e-05,1.20792265079217e-13,204.0,2.0,0.0,666.413186613308,1085.96293524516,-654.904142230805,2,6
-228.693076064702,659.182156592954,290.5363869885,0.0316342957763713,0.0,0.0,0.547079726299176,0.452981414031747,0.0,0.0316342957763713,6.11403309231928e-05,1.13686837721616e-13,252.0,2.0,0.0,699.298346853013,1068.46293524516,-685.215031363261,2,6
-228.693076064702,694.182156592954,309.183535847691,0.0303245383322505,0.0,0.0,0.570174605201449,0.429796310711198,0.0,0.0303245383322505,-2.90840873529152e-05,1.13686837721616e-13,252.0,2.0,0.0,732.379560426567,1050.96293524516,-715.525920495716,2,6
-228.693076064702,729.182156592954,330.274118584568,0.0286429967758716,0.0,0.0,0.594399651599118,0.405601803210592,0.0,0.0286429967758716,1.45480971003309e-06,1.13686837721616e-13,228.0,2.0,0.0,765.631414683243,1033.46293524516,-745.836809628171,2,6
-228.693076064702,764.182156592954,354.027724069177,0.0266083519405144,0.0,0.0,0.619564368764029,0.380447833566811,0.0,0.0266083519405144,1.22023308402053e-05,3.41060513164848e-13,228.0,2.0,0.0,799.03260619897,1015.96293524516,-776.147698760627,2,6
-228.693076064702,799.182156592954,380.821902058635,0.0242437613407488,0.0,0.0,0.645598688306867,0.354396652443412,0.0,0.0242437613407488,-4.6592497215947e-06,2.27373675443232e-13,204.0,2.0,0.0,832.565161647046,998.462935245162,-806.458587893082,2,6
-228.693076064702,834.182156592954,411.211088331345,0.0215781617537078,0.0,0.0,0.672471158953467,0.327528847614138,0.0,0.0215781617537078,6.5676046823171e-09,1.04360964314765e-13,180.0,2.0,0.0,866.213825223094,980.962935245162,-836.769477025537,2,6
