time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
72,28.558318764532384,1.1353384340507953,1153,3459,23.146925055149278,-6.5203410417328802e-08,-2.2849049041706593e-12,5.6221398283697908e-20
73,28.55776072482664,1.1351452314656947,1169,3507,23.456238036810447,-6.6058884027634581e-08,-5.3670852484533071e-12,6.2538990212071657e-20
74,28.557203242881727,1.1349523046872358,1185,3555,23.765226563181919,-6.6913038529499556e-08,-1.0484214191253116e-11,6.6497049443137895e-20
75,28.556646318140146,1.1347596533216904,1201,3603,24.073890992059656,-6.7765876053953762e-08,-1.4701139611217329e-11,6.3210660869464716e-20
76,28.556089950044996,1.1345672769758921,1217,3651,24.382231680813291,-6.8617398728383232e-08,-1.1495669000050057e-11,6.417473987339527e-20
77,28.555534138039857,1.1343751752572389,1233,3699,24.690248986386749,-6.946760867653684e-08,-1.491842413492428e-11,6.2671339110080142e-20
78,28.554978881568946,1.1341833477736816,1249,3747,24.99794326529878,-7.03165080185326e-08,-1.1394194615599318e-11,7.6608091660679829e-20
79,28.554424180077074,1.1339917941337392,1265,3795,25.305314873643471,-7.1164098870864404e-08,-8.9147265958100519e-12,7.9910610256297792e-20
80,28.553870033009424,1.1338005139464837,1281,3843,25.61236416709087,-7.2010383346408411e-08,-9.0263733987239192e-12,8.1991383087174933e-20
81,28.553316439811919,1.1336095068215486,1297,3891,25.919091500887422,-7.2855363554429657e-08,-8.6964775658504578e-12,8.0505353116723418e-20
82,28.5527633999309,1.1334187723691229,1313,3939,26.225497229856661,-7.3699041600588467e-08,-1.1954309070416613e-11,8.946702787312292e-20
83,28.552210912813425,1.1332283101999534,1329,3987,26.531581708399575,-7.4541419586946984e-08,-1.1793042237195905e-11,8.3195758059052141e-20
84,28.551658977906918,1.1330381199253401,1345,4035,26.837345290495307,-7.5382499611975683e-08,-9.4715936482803187e-12,7.3985515528580454e-20
85,28.551107594659509,1.1328482011571419,1361,4083,27.142788329701641,-7.6222283770559809e-08,-1.019473047647601e-11,6.8140657320280761e-20
86,28.550556762519737,1.1326585535077645,1377,4131,27.447911179155533,-7.7060774154005788e-08,-9.5210540840273694e-12,7.1795141266540037e-20
87,28.550006480936876,1.1324691765901769,1393,4179,27.752714191573698,-7.7897972850047714e-08,-6.9780049793966015e-12,8.3471622793338576e-20
88,28.549456749360523,1.1322800700178939,1409,4227,28.057197719253082,-7.8733881942853815e-08,-6.6049422875469332e-12,7.0381076009380636e-20
89,28.548907567241088,1.1320912334049835,1425,4275,28.361362114071465,-7.9568503513032781e-08,-1.4995123198691118e-12,5.8757120451479215e-20
90,28.548358934029196,1.1319026663660647,1441,4323,28.665207727487992,-8.0401839637640215e-08,-3.1589349192007177e-12,4.4121813873578496e-20
91,28.5478108491764,1.1317143685163067,1457,4371,28.968734910543674,-8.1233892390185108e-08,-2.9519199584715494e-12,4.2066683641690499e-20
92,28.547263312134543,1.131526339471429,1473,4419,29.271944013861983,-8.2064663840636031e-08,-6.545420455639217e-12,4.7412751940620717e-20
93,28.54671632235608,1.1313385788476968,1489,4467,29.574835387649347,-8.289415605542769e-08,-6.272423552777795e-12,5.3627359882731614e-20
94,28.546169879293991,1.1311510862619267,1505,4515,29.877409381695706,-8.3722371097467217e-08,-7.2874727086169599e-12,5.5388840997163286e-20
95,28.545623982401914,1.1309638613314803,1521,4563,30.17966634537505,-8.4549311026140497e-08,-5.3172362346476376e-12,5.5595222559995267e-20
96,28.545078631133855,1.1307769036742674,1537,4611,30.481606627645977,-8.5374977897318545e-08,-5.4322900344683234e-12,6.0484687160796213e-20
97,28.544533824944526,1.1305902129087377,1553,4659,30.783230577052194,-8.6199373763363714e-08,-5.6956141192276988e-12,4.9252815213244927e-20
98,28.543989563289131,1.1304037886538942,1569,4707,31.084538541723045,-8.7022500673136247e-08,-2.1780043046870645e-12,5.2516042729766621e-20
99,28.543445845623371,1.1302176305292755,1585,4755,31.385530869374069,-8.7844360672000403e-08,-1.6267508173850587e-12,5.2540858148143212e-20
100,28.542902671403539,1.13003173815497,1601,4803,31.686207907307498,-8.8664955801830679e-08,-6.0480440100540989e-13,4.2266861349928332e-20
101,28.5423600400864,1.1298461111516016,1617,4851,31.986570002412879,-8.9484288101018243e-08,-6.849694422772501e-13,4.3501428414163725e-20
102,28.54181795112947,1.1296607491403436,1633,4899,32.286617501167562,-9.0302359604477164e-08,-1.4514327240089386e-12,5.0085786090085826e-20
103,28.541276403990558,1.1294756517429028,1649,4947,32.58635074963717,-9.1119172343650636e-08,-2.8744194524588096e-12,5.2169040462800626e-20
104,28.54073539812812,1.1292908185815331,1665,4995,32.885770093476197,-9.1934728346517183e-08,-1.4063403219743975e-13,5.5863642668768724e-20
105,28.540194933001139,1.1291062492790214,1681,5043,33.184875877928519,-9.2749029637597028e-08,2.1315622877882134e-12,6.2479846798274116e-20
106,28.539655008069218,1.1289219434586955,1697,5091,33.483668447827924,-9.3562078237958123e-08,2.3007186433776639e-12,7.265251397145125e-20
107,28.539115622792377,1.1287379007444212,1713,5139,33.782148147598662,-9.437387616522252e-08,2.4972836298875478e-12,7.3499546918705551e-20
108,28.538576776631199,1.1285541207606027,1729,5187,34.080315321255931,-9.5184425433572509e-08,3.6695299576727791e-13,7.3023504476181283e-20
109,28.53803846904691,1.1283706031321747,1745,5235,34.378170312406446,-9.5993728053756759e-08,-1.7080122038937162e-12,7.8307534229170024e-20
110,28.537500699501177,1.1281873474846156,1761,5283,34.675713464248922,-9.6801786033096529e-08,-2.4692921318791861e-12,8.0023934000217556e-20
111,28.5369634674562,1.1280043534439319,1777,5331,34.972945119574632,-9.7608601375491908e-08,-1.9459329980708873e-12,8.5919663816189261e-20
112,28.536426772374799,1.1278216206366687,1793,5379,35.269865620767959,-9.8414176081427858e-08,-2.3118347514117232e-12,8.0572354746340214e-20
113,28.535890613720202,1.1276391486898971,1809,5427,35.56647530980684,-9.9218512147980348e-08,-3.3001067156757102e-12,7.6265638887082875e-20
114,28.535354990956332,1.1274569372312315,1825,5475,35.862774528263358,-1.0002161156882259e-07,-1.2561261059085282e-11,7.7399703506893076e-20
115,28.53481990354754,1.1272749858888071,1841,5523,36.158763617304224,-1.0082347633423106e-07,-1.310488176309299e-11,7.2010208225803824e-20
116,28.534285350958704,1.1270932942912966,1857,5571,36.454442917691367,-1.0162410843109165e-07,-1.3345050758895027e-11,7.1104445455058259e-20
117,28.533751332655296,1.1269118620679004,1873,5619,36.749812769782373,-1.0242350984290571e-07,-1.1910906289047674e-11,6.6748098759047739e-20
118,28.533217848103341,1.1267306888483486,1889,5667,37.044873513531037,-1.032216825497962e-07,-1.1764107049616612e-11,6.4773618636883662e-20
119,28.532684896769272,1.1265497742628987,1905,5715,37.339625488487933,-1.0401862852851376e-07,-1.1519171033702591e-11,7.0221843741464178e-20
120,28.532152478120214,1.1263691179423392,1921,5763,37.634069033800863,-1.0481434975244271e-07,-7.3084489848884715e-12,6.7584791948645126e-20
121,28.53162059162366,1.1261887195179816,1937,5811,37.928204488215457,-1.0560884819160716e-07,-1.2047394332137529e-11,7.6814473223511809e-20
