x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls
875,510,2209.01261464051,2209.0126146405,0,8.69068664614731e-07,0.999999124168314,0,25.2585285802212,-8.50896869597136,666
875,515,2202.97609108473,2202.97609108473,0,1.6493831286656e-06,0.999998358421874,0,25.2395172512143,-11.0470872123284,666
875,520,2197.29629438608,2197.29629438607,0,2.78492781701215e-06,0.999997218017278,0,25.2221910737689,-13.6035147831993,666
875,525,2191.96203104619,2191.96203104619,0,4.3468806771252e-06,0.999995651691151,0,25.2065067287481,-16.178113226799,702
875,530,2186.96565169262,2186.96565169262,0,6.41058539429288e-06,0.999993593361869,0,25.1924494399692,-18.7707447809341,702
875,535,2182.29304527177,2182.29304527177,0,9.05569963022584e-06,0.999990962072707,0,25.1799437890017,-21.3812721221302,702
875,540,2177.93417848411,2177.9341784841,0,1.23663483479547e-05,0.999987636522339,0,25.1689478911847,-24.0095583841701,702
875,545,2173.87981089342,2173.87981089341,0,1.64312824641536e-05,0.999983561196106,0,25.1594242678544,-26.6554671760457,666
875,550,2170.12123982287,2170.12123982286,0,2.13440430845538e-05,0.99997867203139,0,25.1513373728305,-29.3188625993341,630
875,555,2166.64999051355,2166.64999051354,0,2.72031315936777e-05,0.999972799195933,0,25.1446504654911,-31.9996092649981,666
875,560,2163.45847016516,2163.45847016515,0,3.41121858868116e-05,0.999965863338549,0,25.1393319719218,-34.6975723096243,666
875,565,2160.53980936277,2160.53980936276,0,4.21801630500363e-05,0.999957820751244,0,25.1353537685698,-37.4126174111013,666
875,570,2157.8873412516,2157.8873412516,0,5.15215288133626e-05,0.999948490758066,0,25.1326857488889,-40.1446108037451,666
875,575,2155.49514500123,2155.49514500123,0,6.22564541226733e-05,0.999937720968215,0,25.1313010722686,-42.8934192928805,702
875,580,2153.35837593437,2153.35837593437,0,7.45110191983973e-05,0.999925482723916,0,25.1311792210875,-45.6589102688877,702
875,585,2151.47247762686,2151.47247762685,0,8.84174254727563e-05,0.999911596195125,0,25.1322975488571,-48.4409517207155,738
875,590,2149.83435588068,2149.83435588068,0,0.000104114215823198,0.999895868312623,0,25.1346417411483,-51.2394122488756,702
875,595,2148.44390411995,2148.44390411995,0,0.000121746503547415,0.999878258301422,0,25.1382193279457,-54.0541610779228,630
875,600,2147.29591652199,2147.29591652198,0,0.00014146621055536,0.999858538688185,0,25.1429878231933,-56.8850680684277,630
875,605,2146.38941847566,2146.38941847565,0,0.00016343231528604,0.999836559853823,0,25.1489363468037,-59.7320037284553,630
875,610,2145.72453051843,2145.72453051843,0,0.00018781111089198,0.999812196741485,0,25.156057605928,-62.5948392245509,558
875,615,2145.30214220925,2145.30214220924,0,0.000214776474272111,0.999785213276835,0,25.1643437933593,-65.4734463922464,558
875,620,2145.12470733027,2145.12470733027,0,0.000244510146575006,0.999755497839003,0,25.1737939538401,-68.3676977460957,558
875,625,2145.1955250577,2145.1955250577,0,0.000277202025838959,0.999722787405117,0,25.1844056070758,-71.2774664892445,558
875,630,2145.51968395175,2145.51968395174,0,0.000313050472483811,0.999686947707442,0,25.1961834770235,-74.2026265225461,558
875,635,2146.10348254873,2146.10348254873,0,0.000352262628422079,0.9996477329754,0,25.2091322859923,-77.1430524532284,594
875,640,2146.95498958807,2146.95498958807,0,0.000395054750614236,0.999604929749984,0,25.2232612941422,-80.098619603127,594
875,645,2148.08417657026,2148.08417657026,0,0.000441652559955364,0.999558348392493,0,25.2385842215828,-83.0692040164847,594
875,650,2149.50271203023,2149.50271203022,0,0.000492291606448522,0.99950769212485,0,25.2551154685799,-86.0546824673349,594
875,655,2151.22529539686,2151.22529539686,0,0.000547217651694492,0.999452782088847,0,25.2728813129007,-89.0549324664692,594
875,660,2153.27034097511,2153.27034097511,0,0.000606687069808863,0.999393302444038,0,25.2919223554827,-92.0698322680046,594
875,665,2155.6542264321,2155.6542264321,0,0.00067096726796644,0.999329031385228,0,25.3122455272959,-95.0992608755562,594
