x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,x_global,y_global,C1
-343.75,-621,573537.874544016,573537.874544016,0,0.638517600602538,0.361481395948432,0,358.273394702709,0,204,1521,-343.75,27633.9434909301
-343.75,-596,542281.372359488,542281.372359488,0,0.625518938994178,0.374479847689818,0,346.640581718762,0,228,1496,-343.75,27633.9434909301
-343.75,-571,513822.962705584,513822.962705584,0,0.61298094890463,0.38702688991386,0,335.947305467729,0,228,1471,-343.75,27633.9434909301
-343.75,-546,487871.831736367,487871.831736367,0,0.600863508895803,0.399108719005293,0,326.127045425856,0,228,1446,-343.75,27633.9434909301
-343.75,-521,464338.320911606,464338.320911606,0,0.589331937919166,0.410714014984662,0,317.225471448206,0,228,1421,-343.75,27633.9434909301
-343.75,-496,442832.251880806,442832.251880806,0,0.578132933223694,0.421831456000127,0,309.085806746277,0,228,1396,-343.75,27633.9434909301
-343.75,-471,423375.598869178,423375.598869178,0,0.56750450156704,0.432449691784017,0,301.804168058361,0,228,1371,-343.75,27633.9434909301
-343.75,-446,405876.935864915,405876.935864915,0,0.557518440319643,0.442562732494872,0,295.399140328609,0,228,1346,-343.75,27633.9434909301
-343.75,-421,390007.790295875,390007.790295875,0,0.547877869189115,0.452160573368452,0,289.722663650276,0,228,1321,-343.75,27633.9434909301
-343.75,-396,375751.077831816,375751.077831816,0,0.538677310048059,0.461236662958143,0,284.825899236887,0,204,1296,-343.75,27633.9434909301
-343.75,-371,363188.504113488,363188.504113488,0,0.530132976617056,0.469785321569601,0,280.825184580441,0,204,1271,-343.75,27633.9434909301
-343.75,-346,352265.954721563,352265.954721563,0,0.522229230334247,0.477799222345539,0,277.740783860885,0,204,1246,-343.75,27633.9434909301
-343.75,-321,342921.860590231,342921.860590231,0,0.51488402576145,0.485275610508778,0,275.581726894776,0,204,1221,-343.75,27633.9434909301
-343.75,-296,335049.882661958,335049.882661957,0,0.50786988869492,0.492206890338843,0,274.31644024957,0,204,1196,-343.75,27633.9434909301
-343.75,-271,328851.551442375,328851.551442375,0,0.501352277432712,0.498591439998173,0,274.1224126731,0,204,1171,-343.75,27633.9434909301
-343.75,-246,324575.130156759,324575.130156759,0,0.495454199950925,0.504424153145161,0,275.198764254106,0,204,1146,-343.75,27633.9434909301
-343.75,-221,322504.241579495,322504.241579495,0,0.490163572486995,0.509701795497221,0,277.74607021094,0,204,1121,-343.75,27633.9434909301
-343.75,-196,323113.900703369,323113.900703369,0,0.485469327422071,0.514421978472401,0,282.056903260668,0,204,1096,-343.75,27633.9434909301
-343.75,-171,327193.024714714,327193.024714714,0,0.481361461135586,0.518582080119438,0,288.562299322062,0,204,1071,-343.75,27633.9434909301
-343.75,-146,336066.330909685,336066.330909685,0,0.477831075949026,0.522179348309004,0,297.906526919208,0,204,1046,-343.75,27633.9434909301
-343.75,-121,352021.114236177,352021.114236177,0,0.474870416473794,0.525212167110134,0,311.076353398889,0,228,1021,-343.75,27633.9434909301
-343.75,-96,379209.974339843,379209.974339843,0,0.472472900610154,0.527678942310931,0,329.649804075667,0,228,996,-343.75,27633.9434909301
-343.75,-71,425759.839851519,425759.839851518,0,0.470633145389287,0.529578693067101,0,356.313855144471,0,252,971,-343.75,27633.9434909301
