time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
22,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999962477,2.549999248229343,2.5478236211013741,2.4025389986670538
23,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5499999999999994,2.5499999999999994,2.5499999999999998,2.5499999999901419,2.5499988086194882,2.547465312013919,2.3993367025229428
24,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999999760874,2.5499981788452168,2.5470799473905492,2.3962079379736072
25,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999458804,2.5499973034499996,2.5466683295883108,2.3931481464445321
26,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5499999999999994,2.5499999999999994,2.5499999999999998,2.5499999998847565,2.5499961185763564,2.5462313190684576,2.3901532212139784
27,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999997675253,2.5499945521764023,2.5457698147972017,2.3872194471013519
28,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999995531777,2.549992524402859,2.5452847383540775,2.3843434501266065
29,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5499999999999994,2.5499999999999994,2.5499999999999998,2.5499999991776625,2.5499899481508099,2.544777021165654,2.3815221551970538
30,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999985446062,2.5499867297185732,2.5442475943507237,2.3787527503104302
31,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999975137446,2.5499827695564048,2.5436973807317824,2.3760326560881775
