check,time_s,radius_cm,coarse,fine
moisture_space_final_T,707,0.9,15.028149467255053,15.028150555679165
moisture_space_final_T,710,1.1,14.101349615752298,14.101350712864898
moisture_space_final_T,711,0.8,15.362649242801288,15.36265032644795
moisture_space_final_T,716,1.5,11.964748960847405,11.964750059757408
moisture_space_final_T,720,0.4,16.362549840867107,16.362550908502218
moisture_space_final_T,722,0.1,16.695649677084972,16.695650738719525
moisture_space_final_T,733,0.2,16.44274925241382,16.442750318466558
moisture_space_final_T,733,0.5,15.944249298622578,15.94425037249045
moisture_space_final_T,738,1.4,12.31124918993707,12.311250283779112
moisture_space_final_T,739,0.8,14.969749598733795,14.969750684110164
moisture_space_final_T,743,0.1,16.353549983219576,16.35355105067755
moisture_space_final_T,744,0.1,16.337549565318717,16.33755063302493
moisture_space_final_T,745,0.0,16.345249807812955,16.34525087539873
moisture_space_final_T,745,0.5,15.762049277985032,15.76205035389185
moisture_space_final_T,750,1.4,12.207249703917263,12.20725079395122
moisture_space_final_T,752,0.8,14.794149635865423,14.794150721562758
moisture_space_final_T,758,2.0,9.076549113627653,9.076550143411515
moisture_space_final_T,759,0.8,14.701349843879598,14.701350929630493
moisture_space_final_T,759,1.3,12.617849918813372,12.617851008550645
moisture_space_final_T,769,1.4,12.048649418248132,12.04865050212067
moisture_space_final_T,780,0.2,15.712248948197619,15.712250023915027
moisture_space_final_T,780,1.4,11.9602491145896,11.960250194824642
moisture_space_final_T,792,1.7,10.442749495265344,10.442750547889126
moisture_space_final_T,794,1.8,9.95684951317823,9.956850552772678
moisture_space_final_T,802,1.7,10.397249091921188,10.397250139782981
moisture_space_final_T,804,0.6,14.694049794257804,14.694050876877046
moisture_space_final_T,805,1.8,9.918549766951335,9.91855080086997
moisture_space_final_T,809,0.2,15.290149957004695,15.29015103619686
moisture_space_final_T,810,0.5,14.83954966132727,14.839550743054895
moisture_space_final_T,815,1.9,9.434749707147752,9.434750720777407
moisture_space_final_T,817,1.3,12.113549366318546,12.113550439489249
moisture_space_final_T,823,1.0,13.24344933688008,13.243450417839805
moisture_space_final_T,823,1.1,12.871649734053323,12.871650812917315
