time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
132,28.144485983339724,1.1273911785047848,4225,8450,-7.4165718405103913,1.3912584036167153e-07,-1.2562598925534851e-09,2.4854916864763348e-18
133,28.144396158625977,1.127385923032278,4257,8514,-7.4704666687420449,1.4017693486268005e-07,-1.2656684877671714e-09,2.5110233980269568e-18
134,28.14430638975502,1.1273806677765985,4289,8578,-7.5243279913212628,1.4122798599899031e-07,-1.2750476657569926e-09,2.531817271060468e-18
135,28.144216676692036,1.1273754127377316,4321,8642,-7.5781558290786073,1.4227899377240188e-07,-1.2846113454662716e-09,2.5453321679610141e-18
136,28.144127019402447,1.1273701579156694,4353,8706,-7.6319502028316712,1.4332995818471426e-07,-1.2938998251738748e-09,2.5609642465640869e-18
137,28.1440374178515,1.1273649033104052,4385,8770,-7.6857111333850954,1.4438087923772661e-07,-1.3025283449475539e-09,2.576369567819395e-18
138,28.143947872004574,1.1273596489219271,4417,8834,-7.7394386415305929,1.4543175693323807e-07,-1.3111369258096001e-09,2.5893992198931022e-18
139,28.143858381827062,1.1273543947502283,4449,8898,-7.7931327480469328,1.4648259127304753e-07,-1.3211381808420769e-09,2.6121325988185029e-18
140,28.143768947284261,1.1273491407952982,4481,8962,-7.8467934736999716,1.4753338225895384e-07,-1.3303618113819776e-09,2.6324825408193631e-18
141,28.143679568341678,1.1273438870571304,4513,9026,-7.9004208392426412,1.485841298927553e-07,-1.3390456775081577e-09,2.6597350723874309e-18
142,28.143590244964724,1.1273386335357123,4545,9090,-7.9540148654149618,1.4963483417625025e-07,-1.3490637940528211e-09,2.6824546283493141e-18
143,28.14350097711883,1.1273333802310379,4577,9154,-8.007575572944063,1.50685495111237e-07,-1.35837034264015e-09,2.6967938495043605e-18
144,28.143411764769464,1.1273281271430968,4609,9218,-8.0611029825441758,1.5173611269951328e-07,-1.3687920946432036e-09,2.7137702129251056e-18
145,28.143322607882183,1.1273228742718795,4641,9282,-8.1145971149166467,1.5278668694287711e-07,-1.3779106685946757e-09,2.7275399202284093e-18
146,28.14323350642244,1.1273176216173784,4673,9346,-8.1680579907499364,1.5383721784312598e-07,-1.3879563412217549e-09,2.7581688996593421e-18
147,28.143144460355785,1.1273123691795839,4705,9410,-8.2214856307196609,1.5488770540205747e-07,-1.3980643441980495e-09,2.7743003433208039e-18
148,28.143055469647823,1.1273071169584881,4737,9474,-8.2748800554885538,1.5593814962146872e-07,-1.4084289370625697e-09,2.7969184985718154e-18
149,28.142966534264119,1.1273018649540791,4769,9538,-8.3282412857065147,1.5698855050315704e-07,-1.417218326200953e-09,2.8183771340121351e-18
150,28.142877654170245,1.1272966131663502,4801,9602,-8.3815693420105859,1.580389080489191e-07,-1.4266543736304871e-09,2.8405850593781086e-18
151,28.142788829331884,1.1272913615952915,4833,9666,-8.4348642450249862,1.5908922226055182e-07,-1.4357772427572857e-09,2.8497518749264212e-18
152,28.142700059714638,1.1272861102408953,4865,9730,-8.4881260153611056,1.601394931398518e-07,-1.4452391739958048e-09,2.8745604884500041e-18
153,28.142611345284198,1.1272808591031516,4897,9794,-8.541354673617505,1.6118972068861547e-07,-1.4544964442933517e-09,2.8880345820818967e-18
