x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls
355,25,398752.577551486,398752.577551486,0,0,0.999998003454228,0,317.850848709961,353.756426135759,1062
355,30,343568.900996981,343568.900996981,0,0,1.00000277695446,0,292.111907269382,353.408721969435,918
355,40,263337.388593696,263337.388593696,0,0,0.99999377545663,0,251.591280669646,352.598015948402,882
355,50,208317.844134815,208317.844134815,0,0,1.00000102436604,0,220.923431036249,351.634071621055,882
380,0,824569.624989301,824569.624989301,0.00284221140108099,0,0.997158492818734,0.00922551284322582,485.973078633931,379.906658896306,3150
380,2,822605.453760832,822605.453760832,0.00280857867110698,0,0.99719205059152,0.00907213467801127,485.119927095846,379.847146820325,2826
380,5,811293.25103931,811293.25103931,0.0020012704176291,0,0.997998740443584,0.00825005611814703,480.120651077254,379.745797478554,2574
380,10,667475.599990644,667475.599990644,0.000302439383142099,0,0.999695829675675,0.00622263997614614,427.181639809002,379.544683470366,1530
380,15,535169.013300442,535169.013300442,0,0,1.00000674471801,0,375.780271819977,379.303355998873,1242
380,20,443725.008761379,443725.008761379,0,0,0.999987944292195,0,337.301802885673,379.021861947915,1134
380,25,375693.332045614,375693.332045613,0,0,1.00000796983965,0,306.673771840352,378.70025591265,954
380,30,322912.159281294,322912.159281294,0,0,0.999990662797619,0,281.410987090828,378.338600146849,1062
380,40,246551.174215836,246551.174215836,0,0,0.99999463913647,0,241.821932373469,377.495426365295,954
380,50,194440.660770844,194440.660770844,0,0,0.999993514418551,0,211.979817146277,376.492989353872,882
405,0,772664.617628462,772664.617628461,0.0028422114017195,0,0.997151063240949,0.0097799473973741,468.35928894987,404.896339346393,3006
405,2,770938.979291039,770938.979291039,0.00284221140226729,0,0.997150857063562,0.00961334827330376,467.592550367427,404.834328485696,2718
405,5,761074.14196842,761074.14196842,0.00214788622817495,0,0.997848101349057,0.00871305560143745,463.14210484602,404.728724876048,2574
405,10,636348.547446076,636348.547446076,0.000424991528234968,0,0.999563524356159,0.00613532570337034,415.548649864336,404.519173228836,1674
405,15,506914.943642221,506914.943642221,0,0,1.0000189674253,0,363.985826769595,404.267728659558,1206
405,20,418580.171699644,418580.171699644,0,0,0.999984633368503,0,325.829462380624,403.974444188159,1062
405,25,353328.883168017,353328.883168017,0,0,1.00001193584157,0,295.66357427978,403.63938154403,846
405,30,302931.892533524,302931.892533524,0,0,0.999994833513585,0,270.883809755401,403.262611101366,846
405,40,230377.652468961,230377.652468961,0,0,1.00000299845413,0,232.223559603823,402.384271091945,846
405,50,181117.734530145,181117.734530145,0,0,0.999996993024277,0,203.208319239221,401.340157044878,774
430,0,722846.438863887,722846.438863887,0.00284221140225014,0,0.997149366586974,0.0103185947950182,451.11143792929,429.885114941292,3006
430,2,721328.539151853,721328.539151853,0.0028422114027347,0,0.997149352129708,0.0101383231363852,450.420999631398,429.820386377018,2934
430,5,712701.730214952,712701.730214952,0.00228822220845166,0,0.99770583221512,0.0091585347812894,446.442862356561,429.710155947104,2322
430,10,606229.283534782,606229.283534782,0.000557553608963189,0,0.999434200771323,0.00599625688847621,404.261373134493,429.491428377935,1566
430,15,479466.820187845,479466.820187845,0,0,1.00002080864478,0,352.423223968154,429.228982552003,1170
430,20,394207.112772148,394207.112772148,0,0,0.999990572393407,0,314.5726575522,428.922878743164,1206
430,25,331685.990294861,331685.990294861,0,0,1.00000002286584,0,284.848682364147,428.573187111974,1026
430,30,283646.481468828,283646.481468828,0,0,1.00000627804319,0,260.555016185228,428.179987625704,954
430,40,214824.709703056,214824.709703056,0,0,1.00000457112468,0,222.814587225148,427.263433435156,846
430,50,168352.034130339,168352.034130339,0,0,1.00000442545693,0,194.625622046969,426.174048330653,774
