budget_m,range_m,true_angle_deg,second_error_deg,radius_m,target_distance_to_center_m,reception_radius_m
250.0,250,0.5,0.5,10.272225531617803,5.390857005096688,1000.0
250.0,250,0.5,1,10.452468550755643,8.27710946424939,1000.0
250.0,250,1,-1,9.84221579053516,5.242113167909461,1000.0
250.0,250,1,-0.5,10.010791274716937,4.53238414221033,1000.0
250.0,250,1,0,10.183911078354054,5.632564252762838,1000.0
250.0,250,1,0.5,10.361737525355121,7.855137454474097,1000.0
250.0,250,1,1,10.54444060429813,10.544440604298156,1000.0
250.0,500,-1,-1,29.524570634149313,29.52457063414937,1000.0
250.0,500,-1,-0.5,30.450541973712827,22.28566754028534,1000.0
250.0,500,-1,0,31.421856849405543,15.242916229853838,1000.0
250.0,500,-1,0.5,32.44155537630089,9.457025437202958,1000.0
250.0,500,-1,1,33.512938125005945,8.925419291086207,1000.0
250.0,500,-0.5,-1,30.369997872481154,21.775892115159223,1000.0
250.0,500,-0.5,-0.5,31.33733817055864,14.117693212242592,1000.0
250.0,500,-0.5,0,32.35279356274309,6.697388291762071,1000.0
250.0,500,-0.5,0.5,33.41964143000847,4.740596975302693,1000.0
250.0,500,-0.5,1,34.54144448650658,12.042618695578794,1000.0
250.0,500,0,-1,31.256904376298593,14.261950843088552,1000.0
250.0,500,0,-0.5,32.26832753646454,6.21138964791737,1000.0
250.0,500,0,0,33.33086633142069,2.199875470435516,1000.0
250.0,500,0,0.5,34.448059179123476,10.720741792378128,1000.0
250.0,500,0,1,35.62375765410867,19.569589476825325,1000.0
250.0,500,0.5,-1,32.18816687396804,8.386118422330142,1000.0
250.0,500,0.5,-0.5,33.24662195729705,5.144389484619578,1000.0
250.0,500,0.5,0,34.35944611067312,11.199233535409684,1000.0
250.0,500,0.5,0.5,35.530465479750184,19.524226640648273,1000.0
250.0,500,0.5,1,36.763850553848364,28.44770825418423,1000.0
250.0,500,1,-1,33.16692041943443,9.331166157211456,1000.0
250.0,500,1,-0.5,34.275617047560836,13.274132467882133,1000.0
250.0,500,1,0,35.44221601788037,20.52097864822009,1000.0
250.0,500,1,0.5,36.670861240465676,28.93389878967498,1000.0
250.0,500,1,1,37.966076007116726,37.9660760071169,1000.0
250.0,750,-1,-1,62.40868990254189,62.40868990254346,1000.0
250.0,750,-1,-0.5,65.36015386443384,46.830835705307614,1000.0
250.0,750,-1,0,68.53078082000452,30.93099653749056,1000.0
250.0,750,-1,0.5,71.94303024190148,16.162926590697634,1000.0
250.0,750,-1,1,75.62233185395505,13.952739401921715,1000.0
250.0,750,-0.5,-1,65.37495945809572,45.60581205752954,1000.0
250.0,750,-0.5,-0.5,68.54669990264507,29.047796858710736,1000.0
250.0,750,-0.5,0,71.96017841760116,12.20169312617255,1000.0
250.0,750,-0.5,0.5,75.64084022108023,9.125852247011688,1000.0
250.0,750,-0.5,1,79.61758989898671,27.38241124980566,1000.0
250.0,750,0,-1,68.5729701059945,28.46334422421742,1000.0
250.0,750,0,-0.5,71.98847725776957,10.940960341998526,1000.0
250.0,750,0,0,75.67138411592173,7.701277527367225,1000.0
250.0,750,0,0.5,79.65062509762393,27.05421156002053,1000.0
250.0,750,0,1,83.95918216401441,47.519814938688164,1000.0
250.0,750,0.5,-1,72.0280492041939,13.183158074155196,1000.0
250.0,750,0.5,-0.5,75.7140962775859,11.085125805036737,1000.0
250.0,750,0.5,0,79.69682200234269,28.396223197824803,1000.0
250.0,750,0.5,0.5,84.00925722556775,48.425048380619295,1000.0
250.0,750,0.5,1,88.68919159775305,69.86220001868837,1000.0
250.0,750,1,-1,75.76911915122581,16.55794976134747,1000.0
250.0,750,1,-0.5,79.75633562107184,31.197051966099174,1000.0
250.0,750,1,0,84.07376876455436,50.29568418250819,1000.0
250.0,750,1,0.5,88.75928238484633,71.31374096905606,1000.0
250.0,750,1,1,93.85636430253761,93.85636430253717,1000.0
250.0,999,-1,-1,105.86326204158831,105.86326204158786,1000.0
250.0,999,-1,-0.5,112.56558936824952,78.7441090199509,1000.0
250.0,999,-1,0,119.93930550364497,50.283567773942046,1000.0
250.0,999,-1,0.5,128.07818319095244,22.471477305514327,1000.0
250.0,999,-1,1,137.09309919288708,22.758044900007746,1000.0
250.0,999,-0.5,-1,112.75529528036122,76.85205761699147,1000.0
250.0,999,-0.5,-0.5,120.14835152396107,47.64075083884298,1000.0
250.0,999,-0.5,0,128.30932018613714,17.057653383071546,1000.0
250.0,999,-0.5,0.5,137.34958937917395,18.976649727565732,1000.0
250.0,999,-0.5,1,147.40168544347958,54.40920379422344,1000.0
250.0,999,0,-1,120.37690516310475,46.36676502458437,1000.0
250.0,999,0,-0.5,128.56205120395737,15.018456529651832,1000.0
250.0,999,0,0,137.63007194888516,19.024338721621895,1000.0
250.0,999,0,0.5,147.7141855589706,55.18501786859406,1000.0
250.0,999,0,1,158.97396072307274,94.24719242016855,1000.0
250.0,999,0.5,-1,128.83669315075116,17.595947964811913,1000.0
