theta_rad,theta_deg,pdf_rad,pdf_deg,rho_lower,rho_upper,center_x,center_y,dmax
0.02094236210831648,1.199908961841231,0,0,nan,nan,nan,nan,nan
0.02129140147678842,1.219907444538585,0,0,nan,nan,nan,nan,nan
0.02164044084526037,1.239905927235939,0,0,nan,nan,nan,nan,nan
0.0219894802137323,1.259904409933293,0,0,nan,nan,nan,nan,nan
0.02233851958220425,1.279902892630646,0,0,nan,nan,nan,nan,nan
0.02268755895067619,1.299901375328,0,0,nan,nan,nan,nan,nan
0.02303659831914813,1.319899858025354,0,0,nan,nan,nan,nan,nan
0.02338563768762007,1.339898340722708,0,0,nan,nan,nan,nan,nan
0.02373467705609201,1.359896823420062,0,0,nan,nan,nan,nan,nan
0.02408371642456395,1.379895306117416,0,0,nan,nan,nan,nan,nan
0.02443275579303589,1.399893788814769,0,0,nan,nan,nan,nan,nan
0.02478179516150784,1.419892271512124,0,0,nan,nan,nan,nan,nan
0.02513083452997978,1.439890754209477,0,0,nan,nan,nan,nan,nan
0.02547987389845172,1.459889236906831,0,0,nan,nan,nan,nan,nan
0.02582891326692366,1.479887719604185,0,0,nan,nan,nan,nan,nan
0.0261779526353956,1.499886202301539,0,0,nan,nan,nan,nan,nan
0.02652699200386754,1.519884684998893,0,0,nan,nan,nan,nan,nan
0.02687603137233949,1.539883167696247,0,0,nan,nan,nan,nan,nan
0.02722507074081143,1.5598816503936,0,0,nan,nan,nan,nan,nan
0.02757411010928337,1.579880133090954,0,0,nan,nan,nan,nan,nan
0.02792314947775531,1.599878615788308,0,0,nan,nan,nan,nan,nan
0.02827218884622725,1.619877098485662,0,0,nan,nan,nan,nan,nan
0.02862122821469919,1.639875581183016,0,0,nan,nan,nan,nan,nan
0.02897026758317113,1.65987406388037,0,0,nan,nan,nan,nan,nan
0.02931930695164308,1.679872546577724,0,0,nan,nan,nan,nan,nan
0.02966834632011502,1.699871029275077,0,0,nan,nan,nan,nan,nan
0.03001738568858696,1.719869511972431,0,0,nan,nan,nan,nan,nan
0.0303664250570589,1.739867994669785,0,0,nan,nan,nan,nan,nan
0.03071546442553084,1.759866477367139,0,0,nan,nan,nan,nan,nan
0.03106450379400278,1.779864960064493,0,0,nan,nan,nan,nan,nan
0.03141354316247472,1.799863442761847,0,0,nan,nan,nan,nan,nan
0.03176258253094667,1.8198619254592,0,0,nan,nan,nan,nan,nan
0.03211162189941861,1.839860408156554,0,0,nan,nan,nan,nan,nan
0.03246066126789054,1.859858890853908,0,0,nan,nan,nan,nan,nan
0.03280970063636249,1.879857373551262,0,0,nan,nan,nan,nan,nan
0.03315874000483443,1.899855856248616,0,0,nan,nan,nan,nan,nan
0.03350777937330637,1.91985433894597,0,0,nan,nan,nan,nan,nan
0.03385681874177832,1.939852821643324,0,0,nan,nan,nan,nan,nan
0.03420585811025025,1.959851304340677,0,0,nan,nan,nan,nan,nan
0.03455489747872219,1.979849787038031,0,0,nan,nan,nan,nan,nan
0.03490393684719414,1.999848269735385,0,0,nan,nan,nan,nan,nan
0.03525297621566608,2.019846752432739,0,0,nan,nan,nan,nan,nan
0.03560201558413802,2.039845235130092,0,0,nan,nan,nan,nan,nan
0.03595105495260996,2.059843717827447,0,0,nan,nan,nan,nan,nan
0.0363000943210819,2.079842200524801,0,0,nan,nan,nan,nan,nan
0.03664913368955384,2.099840683222154,0,0,nan,nan,nan,nan,nan
0.03699817305802579,2.119839165919508,0,0,nan,nan,nan,nan,nan
0.03734721242649772,2.139837648616862,0,0,nan,nan,nan,nan,nan
0.03769625179496967,2.159836131314216,0,0,nan,nan,nan,nan,nan
0.03804529116344161,2.17983461401157,0,0,nan,nan,nan,nan,nan
0.03839433053191355,2.199833096708923,0,0,nan,nan,nan,nan,nan
0.0387433699003855,2.219831579406277,0,0,nan,nan,nan,nan,nan
0.03909240926885743,2.239830062103631,0,0,nan,nan,nan,nan,nan
0.03944144863732937,2.259828544800985,0,0,nan,nan,nan,nan,nan
0.03979048800580132,2.279827027498339,0,0,nan,nan,nan,nan,nan
0.04013952737427326,2.299825510195693,0,0,nan,nan,nan,nan,nan
0.0404885667427452,2.319823992893047,0,0,nan,nan,nan,nan,nan
0.04083760611121714,2.339822475590401,0,0,nan,nan,nan,nan,nan
0.04118664547968908,2.359820958287755,0,0,nan,nan,nan,nan,nan
0.04153568484816102,2.379819440985108,0,0,nan,nan,nan,nan,nan
0.04188472421663297,2.399817923682462,0,0,nan,nan,nan,nan,nan
0.0422337635851049,2.419816406379816,0,0,nan,nan,nan,nan,nan
0.04258280295357685,2.43981488907717,0,0,nan,nan,nan,nan,nan
0.04293184232204879,2.459813371774524,0,0,nan,nan,nan,nan,nan
0.04328088169052073,2.479811854471877,0,0,nan,nan,nan,nan,nan
0.04362992105899267,2.499810337169231,0,0,nan,nan,nan,nan,nan
0.04397896042746461,2.519808819866585,0,0,nan,nan,nan,nan,nan
0.04432799979593655,2.539807302563939,0,0,nan,nan,nan,nan,nan
0.0446770391644085,2.559805785261293,0,0,nan,nan,nan,nan,nan
0.04502607853288044,2.579804267958647,0,0,nan,nan,nan,nan,nan
0.04537511790135238,2.599802750656,0,0,nan,nan,nan,nan,nan
0.04572415726982432,2.619801233353354,0,0,nan,nan,nan,nan,nan
0.04607319663829626,2.639799716050708,0,0,nan,nan,nan,nan,nan
0.0464222360067682,2.659798198748062,0,0,nan,nan,nan,nan,nan
0.04677127537524015,2.679796681445416,0,0,nan,nan,nan,nan,nan
0.04712031474371209,2.69979516414277,0,0,nan,nan,nan,nan,nan
0.04746935411218402,2.719793646840123,0,0,nan,nan,nan,nan,nan
0.04781839348065597,2.739792129537477,0,0,nan,nan,nan,nan,nan
0.04816743284912791,2.759790612234831,0,0,nan,nan,nan,nan,nan
0.04851647221759985,2.779789094932186,0,0,nan,nan,nan,nan,nan
0.04886551158607179,2.799787577629539,0,0,nan,nan,nan,nan,nan
0.04921455095454373,2.819786060326892,0,0,nan,nan,nan,nan,nan
0.04956359032301567,2.839784543024247,0,0,nan,nan,nan,nan,nan
0.04991262969148762,2.859783025721601,0,0,nan,nan,nan,nan,nan
0.05026166905995956,2.879781508418955,0,0,nan,nan,nan,nan,nan
0.0506107084284315,2.899779991116308,0,0,nan,nan,nan,nan,nan
0.05095974779690344,2.919778473813663,0,0,nan,nan,nan,nan,nan
0.05130878716537538,2.939776956511016,0,0,nan,nan,nan,nan,nan
0.05165782653384732,2.95977543920837,0,0,nan,nan,nan,nan,nan
0.05200686590231927,2.979773921905724,0,0,nan,nan,nan,nan,nan
0.0523559052707912,2.999772404603078,0,0,nan,nan,nan,nan,nan
0.05270494463926315,3.019770887300432,0,0,nan,nan,nan,nan,nan
0.05305398400773509,3.039769369997785,0,0,nan,nan,nan,nan,nan
