time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
62,248,992,4,1.0741175541854248e-15,0.00030256832512265479,1.7275314205890142e-16,6.0879680235850081e-10,-1.273692707209152e-20,28.000000516567027,28.084475035402061,2.3081380123604833,2.5500000000000016
63,252,1008,4,1.0741175541854248e-15,0.00030256832512265479,1.7275314205890142e-16,6.1915256721525175e-10,-1.6806655685852416e-20,28.000000621113337,28.086575833178983,2.3062988757882912,2.5500000000000016
64,256,1024,4,1.0741175541854248e-15,0.00030256832512265479,1.7275314205890142e-16,6.2829928532039808e-10,-2.9546891480394149e-20,28.000000743168638,28.088710520075409,2.304475937671715,2.5500000000000016
65,260,1040,4,1.0741175541854248e-15,0.00030256832512265479,1.7275314205890142e-16,6.3841149500112188e-10,-2.9249106459875059e-20,28.000000885042017,28.090876151084089,2.3026688165637132,2.5500000000000016
66,264,1056,4,1.0907677107752041e-15,0.00030725851007752214,1.7275314205890142e-16,6.4862670562295527e-10,-3.8270338220378378e-20,28.000001049260426,28.093070686008602,2.3008771459775104,2.5500000000000016
67,268,1072,4,1.0907677107752041e-15,0.00030725851007752214,1.7275314205890142e-16,6.5871058379986941e-10,-4.2566714321978804e-20,28.000001238579877,28.09529259016994,2.2991005734586336,2.5500000000000016
68,272,1088,4,1.0907677107752041e-15,0.00030725851007752214,1.7275314205890142e-16,6.6836197459754082e-10,-3.295156688166241e-20,28.000001455996529,28.097540646201679,2.2973387597915464,2.5500000000000016
69,276,1104,4,1.0907677107752041e-15,0.00030725851007752214,1.7275314205890142e-16,6.7862076841198465e-10,-3.3909442030998817e-20,28.00000170475758,28.099813851853277,2.2955913782869004,2.5500000000000016
70,280,1120,4,1.0907677107752041e-15,0.00030725851007752214,1.7316926949820417e-16,6.8905010636079872e-10,-2.8562546551456046e-20,28.000001988371984,28.10211135897195,2.2938581141282648,2.5500000000000016
71,284,1136,4,1.0907677107752041e-15,0.00030725851007752214,1.7316926949820417e-16,6.9878573533046356e-10,-8.6159132603523363e-21,28.00000231062084,28.104432434480483,2.2921386637675791,2.5500000000000016
72,288,1152,4,1.0907677107752041e-15,0.00030725851007752214,1.7316926949820417e-16,7.0912279986814347e-10,-1.6758679210324341e-20,28.000002675567558,28.10677643408329,2.2904327343626951,2.5500000000000016
73,292,1168,4,1.0907677107752041e-15,0.00030725851007752214,1.7329640242178903e-16,7.1877850665782311e-10,-1.5761099391585389e-20,28.000003087567677,28.109142783803382,2.2887400432523184,2.5500000000000016
74,296,1184,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,7.2851310867119018e-10,-1.8297235149672972e-20,28.000003551278315,28.111530966577561,2.2870603174647308,2.5500000000000016
75,300,1200,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,7.3796521443594137e-10,-1.5259827940378255e-20,28.000004071667277,28.113940512251173,2.2853932932573033,2.5500000000000016
76,304,1216,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,7.4779619768563371e-10,-1.1563984963491327e-20,28.000004654021755,28.11637098993387,2.283738715684251,2.5500000000000016
77,308,1232,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,7.5748425359869337e-10,-5.3253887836163922e-21,28.000005303956627,28.118822002041846,2.2820963381904029,2.5500000000000016
78,312,1248,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,7.6732217574228961e-10,2.6224934140381189e-20,28.000006027422256,28.12129317957352,2.2804659222290087,2.5500000000000016
79,316,1264,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,7.7635136980138547e-10,3.0837293235976872e-20,28.000006830711918,28.123784178306543,2.2788472369018105,2.5500000000000016
80,320,1280,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,7.8591322111212086e-10,2.8352442675867577e-20,28.000007720468748,28.126294675695153,2.2772400586197707,2.5500000000000016
81,324,1296,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,7.9561909610472575e-10,2.7760181357279609e-20,28.000008703692131,28.128824368309079,2.2756441707829853,2.5500000000000016
82,328,1312,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,8.0484083059186723e-10,3.0878652266604523e-20,28.000009787743732,28.131372969696777,2.2740593634784814,2.5500000000000016
83,332,1328,4,1.0907677107752041e-15,0.00030725851007752214,1.733509683035662e-16,8.1529235912338599e-10,5.2477992421589182e-20,28.000010980352954,28.133940208585571,2.27248543319465,2.5500000000000016
84,336,1344,4,1.0907677107752041e-15,0.00030725851007752214,1.7374872503011244e-16,8.2495275660534467e-10,4.854061270583677e-20,28.000012289621971,28.136525827352539,2.2709221825511996,2.5500000000000016
85,340,1360,4,1.0907677107752041e-15,0.00030725851007752214,1.7374872503011244e-16,8.353816643427367e-10,3.5292488015187479e-20,28.000013724030151,28.139129580715089,2.269369420043637,2.5500000000000016
86,344,1376,4,1.0907677107752041e-15,0.00030725851007752214,1.738340424506014e-16,8.4633491653687137e-10,3.1740574464884778e-20,28.000015292438139,28.141751234601522,2.2678269598012748,2.5500000000000016
87,348,1392,4,1.0907677107752041e-15,0.00030725851007752214,1.738340424506014e-16,8.5650633579927721e-10,2.3189181292311578e-20,28.000017004091337,28.144390565170522,2.266294621357936,2.5500000000000016
88,352,1408,4,1.0907677107752041e-15,0.00030725851007752214,1.738340424506014e-16,8.6698110962537406e-10,2.4898136437846133e-20,28.000018868622973,28.147047357954666,2.2647722294345352,2.5500000000000016
89,356,1424,4,1.0907677107752041e-15,0.00030725851007752214,1.738340424506014e-16,8.7694008771201787e-10,6.4635893064893583e-21,28.000020896056611,28.149721407107943,2.2632596137327781,2.5500000000000016
90,360,1440,4,1.0907677107752041e-15,0.00030725851007752214,1.738340424506014e-16,8.8702975292644787e-10,1.9772925362467574e-20,28.000023096808295,28.15241251474157,2.2617566087393093,2.5500000000000016
91,364,1456,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,8.9716685241960498e-10,2.0732454873029086e-20,28.000025481688159,28.155120490334461,2.260263053539656,2.5500000000000016
92,368,1472,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.0710873307166956e-10,3.2192215079338731e-20,28.000028061901624,28.157845150207894,2.2587787916413773,2.5500000000000016
93,372,1488,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.1724726197697087e-10,4.3962995195968315e-20,28.000030849050209,28.160586317055291,2.2573036708058596,2.5500000000000016
94,376,1504,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.2668740508863173e-10,3.5952578144004795e-20,28.000033855131829,28.163343819519717,2.2558375428882664,2.5500000000000016
95,380,1520,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.3619614610542662e-10,4.8282532354720225e-20,28.000037092540818,28.166117491812901,2.2543802636851389,2.5500000000000016
96,384,1536,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.4578729342622431e-10,5.1035389433296701e-20,28.000040574067551,28.168907173370339,2.2529316927892213,2.5500000000000016
97,388,1552,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.5542387662430478e-10,4.9369447679614904e-20,28.000044312897668,28.171712708538266,2.2514916934510918,2.5500000000000016
98,392,1568,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.6465253612756235e-10,3.3970653396327741e-20,28.000048322611057,28.174533946288498,2.2500601324472105,2.5500000000000016
99,396,1584,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.7398372472714406e-10,3.3323798157311273e-20,28.000052617180426,28.177370739958047,2.2486368799540246,2.5500000000000016
100,400,1600,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.8385312169348843e-10,3.4769709868053965e-20,28.000057210969736,28.180222947010556,2.2472218094277956,2.5500000000000016
101,404,1616,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,9.9296054484245694e-10,3.6314883252303021e-20,28.000062118732259,28.183090428817341,2.2458147974898366,2.5500000000000016
102,408,1632,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,1.002241162783267e-09,3.0344293590895267e-20,28.000067355608536,28.185973050455804,2.2444157238168594,2.5500000000000016
103,412,1648,4,1.0907677107752041e-15,0.00030725851007752214,1.7403229326489166e-16,1.0117741899287255e-09,4.776471729126203e-20,28.000072937123942,28.188870680523429,2.2430244710361573,2.5500000000000016
104,416,1664,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.0220230888804624e-09,4.1059591245907188e-20,28.000078879186258,28.191783190965815,2.241640924625365,2.5500000000000016
105,420,1680,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.0322031956380359e-09,5.1505228021226821e-20,28.000085198082985,28.194710456917328,2.2402649728165587,2.5500000000000016
