time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
4170,43.599781315579655,2.0008232061801858,71329,293529,9735.1118246538881,0.00010983535876687784,-7.2219174866085169e-09,2.9165402553456605e-15
4171,43.602739830185968,2.0007123776311464,71345,293598,9736.87447189046,0.00010985752447668725,-7.2359224504638022e-09,2.9174185027805101e-15
4172,43.605695729186131,2.0006015548782314,71361,293664,9738.6356162176162,0.00010987968902726924,-7.0209051548288017e-09,2.9180227259579362e-15
4173,43.60864902112516,2.00049073792208,71377,293736,9740.3952610097513,0.00010990185241850063,-7.05809968006634e-09,2.9188762803971399e-15
4174,43.611599714323482,2.0003799267632925,71393,293805,9742.1534095659936,0.00010992401465025951,-7.234279889376657e-09,2.9196603301581932e-15
4175,43.614547816889136,2.0002691214024644,71409,293872,9743.9100651141089,0.00010994617572242536,-7.3212270471835396e-09,2.9202449547385709e-15
4176,43.617493336726241,2.0001583218402024,71425,293937,9745.6652308141292,0.00010996833563487894,-7.6892619275327391e-09,2.9208350753137336e-15
4177,43.620436281549317,2.0000475280770864,71441,294004,9747.4189097616872,0.00010999049438750222,-7.5655420182153734e-09,2.9215787911277333e-15
4178,43.62337665888704,1.9999367401137158,71457,294075,9749.1711049911046,0.00011001265198017844,-7.9690561014734897e-09,2.9223711342016081e-15
4179,43.626314476097761,1.9998259579506483,71473,294142,9750.9218194782861,0.00011003480841279191,-7.9631096775646583e-09,2.9230381875368219e-15
4180,43.629249740372963,1.9997151815884719,71489,294210,9752.6710561433829,0.0001100569636852281,-7.7336014457009185e-09,2.9238369249236268e-15
4181,43.632182458745397,1.9996044110277418,71505,294276,9754.4188178533095,0.00011007911779737361,-7.5223594912167315e-09,2.9248141108111584e-15
4182,43.63511263809724,1.9994936462690345,71521,294346,9756.1651074240581,0.00011010127074911605,-7.9079030882646308e-09,2.9254937614867159e-15
4183,43.638040285167968,1.9993828873128947,71537,294413,9757.9099276228771,0.00011012342254034412,-8.269102991585028e-09,2.9265228649518041e-15
4184,43.640965406558585,1.9992721341598878,71553,294479,9759.6532811703273,0.00011014557317094748,-8.3490832501122071e-09,2.9273249608986912e-15
