x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,x_global,y_global,C1
1100,-1200,235285.445095249,235285.445095249,0,0.784706185548745,0.215254672078379,0,248.703383227152,0,108,2900,1100,6118.45869718926
1100,-1100,187451.603686823,187451.603686823,0,0.623172873048037,0.376861319209577,0,203.737431674777,0,108,2800,1100,6118.45869718926
1100,-1000,138467.362346955,138467.362346955,0,0.457812490376509,0.542187509623466,0,157.60373398109,0,108,2700,1100,6118.45869718926
1100,-900,90866.5294000194,90866.5294000194,0,0.297124015174094,0.702875984825908,0,112.754814921881,0,132,2600,1100,6118.45869718926
1100,-800,34516.9997156872,34516.9997156872,0,0.158665904481732,0.841334070756919,0,65.6612811204932,0,180,2500,1100,6118.45869718926
1100,-700,12568.1361353621,12568.1361353621,0,0.0824300739638203,0.917569930653864,0,44.4392734844739,0,180,2400,1100,6118.45869718926
1100,-600,6239.74822619118,6239.74822619118,0,0.0422645501548283,0.957735429430239,0,37.4619915471043,0,180,2300,1100,6118.45869718926
1100,-500,4834.37957085118,4834.37957085118,0,0.0213881107044154,0.978611816438064,0,36.8825356951899,0,180,2200,1100,6118.45869718926
1100,-400,5424.78651658157,5424.78651658157,0,0.0108230973291436,0.989176855844297,0,40.3757459137473,0,180,2100,1100,6118.45869718926
1100,-300,7863.89414710506,7863.89414710506,0,0.00565207975470298,0.994347980951667,0,48.679486395244,0,180,2000,1100,6118.45869718926
1100,-200,15114.2216650662,15114.2216650661,0,0.00322395763415617,0.996776028902344,0,67.0248413318768,0,204,1900,1100,6118.45869718926
1100,-100,49626.8586127766,49626.8586127766,0,0.00217757162028818,0.997822420464615,0,119.702994109488,0,228,1800,1100,6118.45869718926
1100,0,266815.195577895,266815.195577895,0,0.00188812897452549,0.998111895868931,0,287.51808748938,0,276,1700,1100,6118.45869718926
1100,100,53562.3661089632,53562.3661089632,0,0.00217757162028818,0.997822970221666,0,126.739465040834,0,204,1600,1100,6118.45869718926
1100,200,15978.3090217582,15978.3090217582,0,0.00322395763415617,0.996776033092129,0,70.0366530111117,0,204,1500,1100,6118.45869718926
1100,300,8242.78016579713,8242.78016579713,0,0.00565207975470298,0.99434793546451,0,50.4628903604887,0,180,1400,1100,6118.45869718926
1100,400,5650.73223499457,5650.73223499456,0,0.0108230973291436,0.989176992857553,0,41.624198606246,0,180,1300,1100,6118.45869718926
1100,500,4996.4442653261,4996.4442653261,0,0.0213881107044154,0.978612065643874,0,37.8585538767895,0,204,1200,1100,6118.45869718926
1100,600,6370.71806539273,6370.71806539273,0,0.0422645501548283,0.957735343971797,0,38.2832889619844,0,180,1100,1100,6118.45869718926
1100,700,12682.5554181702,12682.5554181702,0,0.0824300739638204,0.917569888943221,0,45.1648964091029,0,180,1000,1100,6118.45869718926
1100,800,34622.2115553568,34622.2115553568,0,0.158665904481732,0.841334092157969,0,66.3235222117251,0,180,900,1100,6118.45869718926
1100,900,90600.1435354156,90600.1435354156,0,0.295920709743731,0.704079290256269,0,112.975559649106,0,132,800,1100,6118.45869718926
1100,1000,138173.071178408,138173.071178408,0,0.456580630972626,0.543419369027336,0,157.684477377865,0,108,700,1100,6118.45869718926
1100,1100,187129.522657546,187129.522657546,0,0.621908022197882,0.378115666450242,0,203.690402300142,0,108,600,1100,6118.45869718926
1100,1200,234955.733873149,234955.733873149,0,0.783474049793131,0.216526974024858,0,248.558182352474,0,108,500,1100,6118.45869718926
1100,1300,276002.12778222,276002.12778222,0,0.92220253937589,0.0777855919391757,0,286.983074138312,0,108,400,1100,6118.45869718926
1100,1400,298342.44455916,298342.44455916,0,0.9977336592997,0.00227607259257127,0,307.870092797137,0,84,300,1100,6118.45869718926
1100,1500,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,200,1100,6118.45869718926
1100,1600,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,100,1100,6118.45869718926
1200,-1300,290483.160434554,290483.160434554,0,0.971172394218548,0.0289501231425189,0,300.50707010858,0,108,3000,1200,6118.45869718926
1200,-1200,259692.43408565,259692.43408565,0,0.867014456473049,0.132837268702287,0,271.771459892334,0,108,2900,1200,6118.45869718926
1200,-1100,218585.684131367,218585.684131367,0,0.727942242979444,0.27207800063108,0,233.43546527152,0,108,2800,1200,6118.45869718926
1200,-1000,173701.23835459,173701.23835459,0,0.576063200082887,0.42396220701455,0,191.593144577936,0,108,2700,1200,6118.45869718926
1200,-900,128788.580932506,128788.580932506,0,0.423987242811122,0.576012757188834,0,149.821758760416,0,108,2600,1200,6118.45869718926
1200,-800,83878.3927049742,83878.3927049742,0,0.278363440040748,0.721636564211719,0,109.095892905126,0,132,2500,1200,6118.45869718926
1200,-700,34599.799589258,34599.799589258,0,0.166475243905884,0.833524749792358,0,69.8466691466532,0,180,2400,1200,6118.45869718926
1200,-600,16738.3841294087,16738.3841294087,0,0.101021519914462,0.898978520202209,0,53.6490540345,0,156,2300,1200,6118.45869718926
1200,-500,10522.9649050725,10522.9649050725,0,0.0625824201371826,0.937417539514522,0,48.7132767918865,0,228,2200,1200,6118.45869718926
1200,-400,9443.8898312001,9443.8898312001,0,0.0401028913077898,0.959897077778583,0,50.7945689364947,0,180,2100,1200,6118.45869718926
1200,-300,12141.0203358027,12141.0203358027,0,0.0271350204234209,0.972864980331163,0,59.8723009243266,0,204,2000,1200,6118.45869718926
1200,-200,22310.4688640477,22310.4688640477,0,0.0199073648258115,0.980092718330291,0,81.5155967879931,0,180,1900,1200,6118.45869718926
1200,-100,69688.9801135711,69688.9801135711,0,0.0162851332247788,0.983714854659758,0,141.779923214209,0,180,1800,1200,6118.45869718926
1200,0,268565.831452314,268565.831452314,0,0.0151873903249695,0.984812609479308,0,288.302476780008,0,276,1700,1200,6118.45869718926
1200,100,76045.6375687412,76045.6375687412,0,0.0162851332247788,0.9837149644649,0,150.413331806676,0,180,1600,1200,6118.45869718926
1200,200,23720.8962687738,23720.8962687738,0,0.0199073648258115,0.980092583771827,0,85.3667200914143,0,228,1500,1200,6118.45869718926
1200,300,12757.7845736485,12757.7845736485,0,0.0271350204234209,0.972864932905983,0,62.211663967306,0,204,1400,1200,6118.45869718926
1200,400,9803.70274370822,9803.70274370822,0,0.0401028913077898,0.959897067402019,0,52.4352044130008,0,180,1300,1200,6118.45869718926
1200,500,10772.2941960828,10772.2941960828,0,0.0625824201371826,0.937417469886452,0,49.9793834375648,0,204,1200,1200,6118.45869718926
1200,600,16932.0959358735,16932.0959358735,0,0.101021519914462,0.898978497666929,0,54.6944552869709,0,180,1100,1200,6118.45869718926
1200,700,34762.6452226958,34762.6452226958,0,0.166475243905884,0.83352507963674,0,70.7523074733016,0,156,1000,1200,6118.45869718926
1200,800,79257.9756132209,79257.9756132208,0,0.277613212287136,0.722386787712863,0,107.264218484168,0,132,900,1200,6118.45869718926
1200,900,128555.766995818,128555.766995818,0,0.42284222302475,0.577157776975252,0,150.096706581039,0,132,800,1200,6118.45869718926
1200,1000,173430.170493806,173430.170493806,0,0.574879079623697,0.425142858605278,0,191.7014113386,0,108,700,1200,6118.45869718926
