case_code,official_jammer_count,directional_count,cleared_count,full_clear,virtual_time_s,time_per_actual_target_s,distance_m,measure_count,switches,clear_failures,strategy
ZY2J-3B33-A93U-8CS4,14,10,14,True,6272.109995,448.0078567857143,23295.54998880747,259,248,0,m32
YCAF-4CQT-VCED-N4XY,12,12,12,True,6287.248724,523.9373936666667,22896.243622342143,278,258,0,m32
R4AA-BVZP-2QUH-RZA7,14,9,14,True,6233.422615,445.24447250000003,22522.113086832138,278,269,0,m32
EREM-XRUB-KS2U-WPZY,11,4,11,True,6055.592853,550.5084411818182,20537.964271125158,316,313,0,m32
QH3K-WYYW-AEJ7-VPBJ,15,5,15,True,5280.750026,352.0500017333333,20858.750131983044,173,169,0,m32
UK6R-NPE6-FX7X-3WD7,12,3,12,True,5816.423425,484.7019520833333,21222.11712954211,253,247,0,m32
E3KT-3H6M-A4Q7-TT9G,10,9,10,True,6268.398808,626.8398808,21636.994042337705,317,306,0,m32
NZQ8-FTE7-BZYW-R7V8,10,2,10,True,5610.043685,561.0043684999999,19185.218416785232,288,283,0,m32
EMDR-NYDH-ZCJM-8DX5,16,7,16,True,5223.310745,326.4569215625,20316.55372791146,182,170,0,m32
M35H-BDAM-F2C6-FGKT,16,11,16,True,5364.441789,335.2776118125,20572.20894282478,197,185,0,m32
UN2R-NYDY-FD8A-RKPP,16,11,16,True,4894.710192,305.919387,19138.55096042662,166,157,0,m32
MY26-KMSD-XCJF-KGRE,16,4,16,True,4749.982834,296.873927125,18609.914161375164,160,148,0,m32
EF7S-Q5BT-HYUR-8GGM,11,6,11,True,6008.782945,546.2529949999999,21723.914734235037,269,264,0,m32
MV5W-WJG2-Q57C-28XN,15,15,15,True,5303.186296,353.54575306666663,20435.931481591542,192,181,0,m32
ZUZT-NMUA-Z746-9J9Z,12,7,12,True,5898.707488,491.55895733333335,21898.53743974919,245,234,0,m32
RVRB-99UE-RS8G-RFNK,13,2,13,True,5567.956072,428.30431323076925,20524.78036404343,234,228,0,m32
NGFE-DJRW-QENS-CMAY,10,3,10,True,5862.053225,586.2053225,20975.266123039986,270,267,0,m32
9N8Q-886F-8G48-DA6M,11,8,11,True,6243.774253,567.6158411818182,22068.87126205604,297,290,0,m32
