x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
230,40,463.312537077707,1500,463.312537077707,0,6.213660611494495,228.0114944229787,63,0,0
230,50,431.0360496542574,1500,431.0360496542574,0,6.205809888458918,227.2029368121354,63,0,0
255,0,620.1129098674947,1500,620.1129098674947,0,6.279610844638473,254.9478706357249,119,0,0
255,1,620.1154354639335,1500,620.1154354639335,0,6.278807853270657,254.9237755215141,91,0,0
255,2,620.1187624245597,1500,620.1187624245597,0,6.27800489005904,254.8983390865449,91,0,0
255,5,619.0340121216923,1500,619.0340121216923,0,6.240689594659197,254.8139832668535,91,0,0
255,10,588.5603474183038,1500,588.5603474183038,0,6.236675736966051,254.6465780591155,63,0,0
255,15,560.9612577666552,1500,560.9612577666552,0,6.232662815567486,254.445677590587,63,0,0
255,20,535.8497285442195,1500,535.8497285442195,0,6.228650959331029,254.2113089301154,63,0,0
255,25,512.9052340563851,1500,512.9052340563851,0,6.22464029691866,253.9435036191263,63,0,0
255,30,491.8600470338258,1500,491.8600470338258,0,6.220630956762186,253.6422976504648,63,0,0
255,40,454.6004128315503,1500,454.6004128315503,0,6.212616755646247,252.9398498211652,63,0,0
255,50,422.6430693900626,1500,422.6430693900626,0,6.204609377905411,252.104341425912,63,0,0
280,0,607.6125296715016,1500,607.6125296715016,0,0.004005308904179189,279.9407727746134,119,0,0
280,1,607.6153492865211,1500,607.6153492865211,0,6.278360564666851,279.9158413592926,91,0,0
280,2,607.6189866373935,1500,607.6189866373935,0,6.277541160980276,279.8895221299929,91,0,0
280,5,607.6343819688512,1500,607.6343819688512,0,6.275083140437482,279.8022391198416,91,0,0
280,10,578.9738225782228,1500,578.9738225782228,0,6.236080555420138,279.6290269304526,63,0,0
280,15,551.4876979321709,1500,551.4876979321709,0,6.23198555042491,279.4211612144446,63,0,0
280,20,526.5085519476528,1500,526.5085519476528,0,6.227891677333598,279.1786719512857,63,0,0
280,25,503.7096797828796,1500,503.7096797828796,0,6.223799072840449,278.9015940703481,63,0,0
280,30,482.8187799393625,1500,482.8187799393625,0,6.219707873385034,278.589967425835,63,0,0
280,40,445.8809850947483,1500,445.8809850947483,0,6.211530233909745,277.8632517123896,63,0,0
280,50,414.2493617676423,1500,414.2493617676423,0,6.203359844303993,276.9989409716268,63,0,0
